ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth (m),Area (Km2),Estimated coordinates,Reference,ANP,Protection Level,Validation,Estimated Area,Area Loss,Loss Index,Pollution ,Coastal Modification,Biological Resource Use,Climate Change ,Minning,Threath index ,Read List Category,Regin_1,Region, ,Municip,Categor,Zonifcc,Subznfc,nombr_1,Psc_Cmr,Psc_Dpr,Pesca,Buceo
1,Halodule wrightii,2017,May,Campos-Davila,Balandra,24.32,-110.33,DD,24,No,Seagrass Halodule wrightii as a new habitat for the amphioxus Branchiostoma californiense (Cephalochordata. Branchiostomidae) in the southern Gulf of California. Mexico,Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
2,Halodule wrightii,2017,May,Campos-Davila,Balandra,24.32,-110.33,DD,24,No,Seagrass Halodule wrightii as a new habitat for the amphioxus Branchiostoma californiense (Cephalochordata. Branchiostomidae) in the southern Gulf of California. Mexico,Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
3,Halodule wrightii,2008,DD,CONANP,Isla Gaviota,24.31,-110.33,2,1500M2,Yes,Estudio previo justificativo para el estableciemiento del area natural protegida. Area de proteccion flora y fauna Balandra,No,0,No,0,,,1,0,0,,0,,,,La Paz,Baja California Sur,,,,,,,,,
4,Halodule wrightii,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
5,Ruppia maritima,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
6,Zostera marina,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
7,Zostera marina,2013,DD,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.19,DD,7000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
8,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Perla,29.23,-112.3,DD,35.81ha,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,"325,399.96 M2",,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora ,,,,,,,,,
9,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Ohna,29.07,-112.19,DD,64.24ha,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,1084736.25M2,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
10,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Estero El Sargento,29.01,-112.16,DD,1162HA,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,537047.13 M2,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
11,Ruppia maritima,1988,April-June,Flores-Verdugo et al.,El Verde,23.42,-106.56,1,0.12,No,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica,Sitio Ramsar Playa Tortuguera El Verde Camacho,1,DD,,,,1,1,1,,0,,,,El Verde,Sinaloa,,,,,,,,,
12,Ruppia maritima,1988,December-May,Flores-Verdugo et al.,El Verde,23.42,-106.56,1,0.12,No,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica,Sitio Ramsar Playa Tortuguera El Verde Camacho,1,DD,,,,1,1,1,,0,,,,El Verde,Sinaloa,,,,,,,,,
13,Ruppia maritima,1988,February - July,Flores-Verdugo et al.,El Verde,23.42,-106.56,1,0.12,No,"Phytoplankton production and seasonal biomass variation of seagrass, Ruppia maritima L.,in a tropical mexican lagoon with an ephemeral inlet",Sitio Ramsar Playa Tortuguera El Verde Camacho,1,DD,,,,1,1,1,,0,,,,El Verde,Sinaloa,,,,,,,,,
14,Halodule wrightii,2013,April-December,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,186000,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,,,,,0,1,1,,0,,,,La Paz,Baja California Sur ,,,,,,,,,
15,Ruppia maritima,2013,April-December,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,186000,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,,,,,0,1,1,,0,,,,La Paz,Baja California Sur ,,,,,,,,,
16,Halophila decipiens,2013,June-December,Garcia-Trasvina,Punta Roca,24.2,-110.3,DD,186000,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,,,,,0,1,1,,0,,,,La Paz,Baja California Sur ,,,,,,,,,
17,Halodule wrightii,2014,January-July,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,186000,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,,,,,0,1,1,,0,,,,La Paz,Baja California Sur ,,,,,,,,,
18,Ruppia maritima,2014,January-July,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,186000,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,,,,,0,1,1,,0,,,,La Paz,Baja California Sur ,,,,,,,,,
19,Halophila decipiens,2014,January-July,Garcia-Trasvina,Punta Roca,24.2,-110.3,DD,186000,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,,,,,0,1,1,,0,,,,La Paz,Baja California Sur ,,,,,,,,,
20,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Chueca,29.01,-112.16,DD,221.22 Ha,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,537047.13 M2,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
21,Ruppia maritima,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.042,-112.207,DD,243000,Yes,"Inventory, monitoring and impact assessment of marine biodiversity in the Seri Indian territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
22,Ruppia maritima,2011,April,Hinojosa-Arango,El Requeson,26.64,-111.83,0-10,33.7Ha,Yes,Using GIS methods to evaluate rhodolith and sargassum beds as critical habitats for commercially important marine species in Bahia Concepcion. B.C.S. Mexico,Bahia de Loreto,1,Yes,,,,1,0,0,,0,,,,Loreto,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales Marina I,Bahia Loreto I,SI,SI,Permitida,Permitido
23,Zostera marina,2011,April,Hinojosa-Arango,El Requeson,26.64,-111.83,0-10,33.7Ha,Yes,Using GIS methods to evaluate rhodolith and sargassum beds as critical habitats for commercially important marine species in Bahia Concepcion. B.C.S. Mexico,Bahia de Loreto,1,Yes,,,,1,0,0,,0,,,,Loreto,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales Marina I,Bahia Loreto I,SI,SI,Permitida,Permitido
